board_size,depth_limit,minmax_side,run,outcome,turns,minmax_time_ms
3,9,o,0,win,5,190.69409370422363
3,9,o,1,win,5,167.3145294189453
3,9,o,2,win,5,166.31031036376953
3,9,o,3,win,7,171.1251735687256
3,9,o,4,win,5,213.9451503753662
3,9,o,5,win,5,157.11021423339844
3,9,o,6,win,5,209.55801010131836
3,9,o,7,win,5,183.75229835510254
3,9,o,8,win,5,161.38720512390137
3,9,o,9,win,5,207.30972290039062
3,9,o,10,win,7,204.3905258178711
3,9,o,11,win,5,189.7449493408203
3,9,o,12,win,7,156.58831596374512
3,9,o,13,win,5,162.30297088623047
3,9,o,14,win,5,177.4008274078369
3,9,o,15,win,5,173.9797592163086
3,9,o,16,win,5,173.7220287322998
3,9,o,17,win,7,244.08674240112305
3,9,o,18,win,5,200.69408416748047
3,9,o,19,win,5,155.73787689208984
3,9,o,20,win,7,175.70805549621582
3,9,o,21,win,5,215.28887748718262
3,9,o,22,win,5,150.38728713989258
3,9,o,23,win,5,189.17226791381836
3,9,o,24,win,7,164.5514965057373
3,9,x,0,win,6,21.622657775878906
3,9,x,1,win,6,19.059419631958008
3,9,x,2,win,6,40.50946235656738
3,9,x,3,draw,9,44.53897476196289
3,9,x,4,win,8,51.56278610229492
3,9,x,5,draw,9,27.514219284057617
3,9,x,6,win,8,35.8119010925293
3,9,x,7,draw,9,20.77031135559082
3,9,x,8,draw,9,30.401229858398438
3,9,x,9,draw,9,44.07906532287598
3,9,x,10,draw,9,45.55869102478027
3,9,x,11,win,8,30.14993667602539
3,9,x,12,win,8,53.550004959106445
3,9,x,13,win,6,33.028364181518555
3,9,x,14,win,8,25.597572326660156
3,9,x,15,win,8,35.64929962158203
3,9,x,16,win,6,28.048276901245117
3,9,x,17,draw,9,20.975351333618164
3,9,x,18,win,6,34.537315368652344
3,9,x,19,win,8,35.70413589477539
3,9,x,20,draw,9,40.77887535095215
3,9,x,21,win,6,34.78860855102539
3,9,x,22,win,8,46.24009132385254
3,9,x,23,win,8,41.02039337158203
3,9,x,24,win,6,48.64764213562012
4,6,o,0,win,13,3565.2434825897217
4,6,o,1,win,13,3380.849838256836
4,6,o,2,win,7,1571.688175201416
4,6,o,3,win,11,1681.1895370483398
4,6,o,4,win,11,1921.3414192199707
4,6,o,5,win,9,1584.9957466125488
4,6,o,6,win,9,1791.2333011627197
4,6,o,7,win,7,1584.742784500122
4,6,o,8,win,7,1459.6965312957764
4,6,o,9,win,7,3278.752326965332
4,6,o,10,win,7,1577.1777629852295
4,6,o,11,win,9,1647.9294300079346
4,6,o,12,win,11,3195.3306198120117
4,6,o,13,win,7,1600.224494934082
4,6,o,14,win,15,3280.5569171905518
4,6,o,15,win,7,1319.2086219787598
4,6,o,16,win,7,1597.8524684906006
4,6,o,17,win,7,1612.7920150756836
4,6,o,18,draw,16,1720.942497253418
4,6,o,19,win,7,3209.371566772461
4,6,o,20,win,9,1504.0969848632812
4,6,o,21,win,9,1828.6471366882324
4,6,o,22,win,7,1463.223934173584
4,6,o,23,draw,16,2247.6651668548584
4,6,o,24,draw,16,1977.6105880737305
4,6,x,0,win,10,895.2610492706299
4,6,x,1,draw,16,1478.3101081848145
4,6,x,2,draw,16,964.7567272186279
4,6,x,3,draw,16,2034.1973304748535
4,6,x,4,win,10,854.179859161377
4,6,x,5,win,10,1236.2024784088135
4,6,x,6,draw,16,1391.4775848388672
4,6,x,7,win,16,1023.6117839813232
4,6,x,8,win,10,1006.5784454345703
4,6,x,9,win,10,1356.9016456604004
4,6,x,10,win,14,2192.910671234131
4,6,x,11,draw,16,1667.0653820037842
4,6,x,12,win,14,2069.3750381469727
4,6,x,13,win,12,987.7667427062988
4,6,x,14,draw,16,1795.5272197723389
4,6,x,15,win,12,1029.736042022705
4,6,x,16,draw,16,2298.239231109619
4,6,x,17,win,12,1326.8678188323975
4,6,x,18,draw,16,2097.064733505249
4,6,x,19,win,10,1630.8610439300537
4,6,x,20,draw,16,1306.1509132385254
4,6,x,21,draw,16,2129.9872398376465
4,6,x,22,draw,16,1246.5643882751465
4,6,x,23,win,12,1447.1323490142822
4,6,x,24,win,10,1183.945894241333
