board_size,depth_o,depth_x,outcome,turns,time_o_ms,time_x_ms
3,1,1,o_wins,5,1.19,0.52
3,1,2,draw,9,0.69,1.44
3,1,3,draw,9,0.62,4.61
3,1,4,draw,9,0.46,8.86
3,1,9,draw,9,0.43,18.34
3,2,1,o_wins,5,0.78,0.17
3,2,2,draw,9,0.91,0.65
3,2,3,draw,9,1.18,2.6
3,2,4,draw,9,1.27,6.4
3,2,9,draw,9,1.16,17.93
3,3,1,o_wins,7,3.1,0.23
3,3,2,draw,9,6.85,0.87
3,3,3,draw,9,3.86,1.9
3,3,4,draw,9,3.87,6.88
3,3,9,draw,9,4.54,21.91
3,4,1,o_wins,7,8.44,0.52
3,4,2,draw,9,8.4,0.84
3,4,3,draw,9,8.37,1.75
3,4,4,draw,9,9.46,7.08
3,4,9,draw,9,10.14,14.58
3,9,1,draw,9,153.0,0.8
3,9,2,draw,9,125.8,0.72
3,9,3,draw,9,117.38,2.04
3,9,4,o_wins,7,114.03,7.28
3,9,9,draw,9,151.13,15.66
4,1,1,draw,16,1.56,1.32
4,1,2,draw,16,1.43,6.3
4,1,3,draw,16,1.63,34.95
4,1,4,draw,16,1.65,142.45
4,1,6,draw,16,1.56,2258.09
4,2,1,draw,16,5.89,1.28
4,2,2,draw,16,5.61,6.15
4,2,3,draw,16,7.4,39.46
4,2,4,draw,16,6.39,135.57
4,2,6,draw,16,5.31,2302.48
4,3,1,draw,16,46.38,1.79
4,3,2,draw,16,41.34,7.27
4,3,3,draw,16,43.14,41.83
4,3,4,draw,16,45.84,143.35
4,3,6,draw,16,38.91,2493.59
4,4,1,draw,16,123.76,1.14
4,4,2,draw,16,122.1,6.13
4,4,3,draw,16,132.07,35.08
4,4,4,draw,16,130.38,125.06
4,4,6,draw,16,170.63,2700.09
4,6,1,draw,16,2125.59,1.66
4,6,2,draw,16,2130.61,7.72
4,6,3,draw,16,2334.87,40.86
4,6,4,draw,16,2209.17,159.56
4,6,6,draw,16,3549.01,2852.99
