max_depth,val_min,val_mean,val_std,val_max,test_min,test_mean,test_std,test_max
1,0.6573,0.706,0.0373,0.7902,0.6483,0.691,0.0285,0.7517
2,0.6014,0.6738,0.0367,0.7413,0.6069,0.6756,0.034,0.731
3,0.6853,0.7385,0.0298,0.8182,0.6828,0.7377,0.0267,0.7862
4,0.7343,0.7908,0.0334,0.8531,0.6966,0.7843,0.0375,0.8621
5,0.7692,0.8495,0.0346,0.9091,0.7793,0.8433,0.0308,0.9172
6,0.7832,0.8596,0.0386,0.9371,0.7931,0.8568,0.0284,0.9034
7,0.7972,0.8618,0.0366,0.9441,0.7931,0.859,0.0302,0.9103
8,0.7972,0.8618,0.0366,0.9441,0.7931,0.859,0.0302,0.9103
9,0.7972,0.8618,0.0366,0.9441,0.7931,0.859,0.0302,0.9103
None,0.7972,0.8618,0.0366,0.9441,0.7931,0.859,0.0302,0.9103
