experiment,variant,run_0,run_1,run_2,run_3,run_4,run_5,run_6,run_7,run_8,run_9,run_10,run_11,run_12,run_13,run_14,run_15,run_16,run_17,run_18,run_19,run_20,run_21,run_22,run_23,run_24
baseline,baseline,22325.0,20129.0,17876.0,19525.0,20603.0,21056.0,20940.0,22481.0,20734.0,21387.0,21637.0,21990.0,21129.0,20144.0,19848.0,21139.0,20508.0,21768.0,19767.0,20562.0,21846.0,20857.0,22181.0,22468.0,20531.0
exp1_pop_size,pop_size=20,24732.0,24083.0,22158.0,24711.0,24980.0,24553.0,24785.0,22734.0,26262.0,24383.0,24950.0,25976.0,24604.0,24842.0,24847.0,24866.0,23523.0,23721.0,25758.0,25169.0,25430.0,23226.0,24715.0,23816.0,25676.0
exp1_pop_size,pop_size=50,22089.0,22466.0,23822.0,23261.0,22540.0,21847.0,22279.0,22259.0,23899.0,23442.0,21085.0,21808.0,21592.0,21288.0,22556.0,22525.0,22609.0,25053.0,21828.0,20741.0,21568.0,22955.0,21478.0,22500.0,19776.0
exp1_pop_size,pop_size=100,22325.0,20129.0,17876.0,19525.0,20603.0,21056.0,20940.0,22481.0,20734.0,21387.0,21637.0,21990.0,21129.0,20144.0,19848.0,21139.0,20508.0,21768.0,19767.0,20562.0,21846.0,20857.0,22181.0,22468.0,20531.0
exp1_pop_size,pop_size=200,20831.0,21496.0,20487.0,19520.0,18411.0,18383.0,20851.0,21115.0,20270.0,19595.0,20589.0,17963.0,19721.0,19420.0,19348.0,20540.0,19575.0,18287.0,18551.0,19469.0,19424.0,19816.0,21187.0,19567.0,18145.0
exp1_pop_size,pop_size=500,19097.0,19365.0,19989.0,19677.0,20925.0,18919.0,19419.0,20598.0,17710.0,19465.0,20418.0,19816.0,19142.0,20992.0,19474.0,21084.0,19864.0,19215.0,19016.0,19620.0,16920.0,19850.0,20549.0,19879.0,19728.0
exp1_pop_size,pop_size=1000,18783.0,20612.0,19508.0,18009.0,19231.0,20249.0,17744.0,18439.0,19249.0,19944.0,19661.0,18899.0,18949.0,19424.0,17693.0,20426.0,19417.0,19674.0,19178.0,19780.0,18210.0,19130.0,19210.0,19339.0,20422.0
exp1_pop_size,pop_size=2000,19279.0,19161.0,18529.0,17745.0,16605.0,18511.0,18024.0,19186.0,18991.0,18297.0,19660.0,18934.0,18853.0,18883.0,19583.0,19100.0,19973.0,19871.0,18146.0,17606.0,15097.0,19105.0,19477.0,20118.0,19022.0
exp2_mutation_prob,mutation_prob=0.001,21668.0,21592.0,22723.0,22852.0,24610.0,21445.0,21607.0,23404.0,22864.0,22285.0,23371.0,20871.0,21492.0,22979.0,22679.0,21956.0,21651.0,22331.0,23914.0,22819.0,21314.0,23871.0,21616.0,23961.0,22578.0
exp2_mutation_prob,mutation_prob=0.003,20027.0,20393.0,23101.0,23495.0,22168.0,20232.0,23402.0,21669.0,20261.0,19381.0,21063.0,23501.0,23074.0,21788.0,22644.0,20803.0,21390.0,21756.0,24203.0,19303.0,22156.0,19705.0,23010.0,21864.0,21132.0
exp2_mutation_prob,mutation_prob=0.005,22805.0,20529.0,23101.0,23505.0,22121.0,20432.0,20625.0,20873.0,22927.0,20994.0,22612.0,22351.0,21617.0,22314.0,20171.0,21018.0,23125.0,22565.0,23962.0,22321.0,21144.0,20735.0,23236.0,21844.0,18653.0
exp2_mutation_prob,mutation_prob=0.007,21811.0,21129.0,22832.0,22422.0,20947.0,19597.0,21003.0,20800.0,21208.0,22673.0,19538.0,22548.0,19091.0,21653.0,18986.0,22698.0,21500.0,21079.0,23527.0,22192.0,22210.0,23646.0,20283.0,20013.0,21710.0
exp2_mutation_prob,mutation_prob=0.01,22325.0,20129.0,17876.0,19525.0,20603.0,21056.0,20940.0,22481.0,20734.0,21387.0,21637.0,21990.0,21129.0,20144.0,19848.0,21139.0,20508.0,21768.0,19767.0,20562.0,21846.0,20857.0,22181.0,22468.0,20531.0
exp2_mutation_prob,mutation_prob=0.05,21496.0,20111.0,22159.0,22231.0,22702.0,21387.0,20792.0,21481.0,21290.0,20490.0,20750.0,22581.0,23299.0,20993.0,21852.0,21747.0,20261.0,21088.0,21404.0,21547.0,22201.0,20153.0,20981.0,21125.0,22029.0
exp2_mutation_prob,mutation_prob=0.1,21612.0,22086.0,20423.0,22003.0,21963.0,21076.0,19843.0,22571.0,21152.0,20663.0,21981.0,20783.0,20838.0,20098.0,21395.0,20502.0,20922.0,22010.0,22897.0,21974.0,19985.0,21496.0,21790.0,22566.0,21229.0
exp2_mutation_prob,mutation_prob=0.3,22031.0,22080.0,22189.0,22362.0,19387.0,23199.0,21551.0,21727.0,21642.0,21737.0,21588.0,22510.0,21918.0,22615.0,21579.0,21370.0,20613.0,20877.0,21349.0,21111.0,21332.0,21861.0,21763.0,22458.0,22609.0
